"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-07",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-08",,,"1.65",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-09",,,"1.09",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-10",,,"0.79",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-11",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-14",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-17",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-18",,,"1.68",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-19",,,"0.06",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-20",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-25",,,"0.29",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-26",,,"0.07",,,,,,,,,
